user,enrolled,predicted_reach
239786,1,1
279644,1,1
98290,0,0
170150,1,1
237568,1,0
65042,1,0
207226,1,1
363062,0,0
152296,1,1
64484,0,0
38108,1,1
359940,0,0
136089,0,0
14231,1,1
216038,0,1
18918,1,1
316730,1,1
28308,1,0
228387,1,1
69640,1,1
358264,0,0
348059,0,0
178743,1,1
167556,0,0
294101,0,0
192801,0,0
163983,1,1
298830,0,0
151790,1,1
20200,1,0
286678,1,1
329775,0,0
116814,1,0
83039,1,0
154510,0,0
20373,0,0
67506,1,1
187707,1,0
178087,0,1
292933,1,1
91037,0,1
211226,0,0
259560,1,1
189180,0,0
9137,0,0
337458,1,1
190667,0,0
371267,1,0
223348,0,0
191295,0,1
323703,0,0
276739,0,0
210837,0,0
64190,0,0
90073,1,1
165549,0,0
278010,1,1
173992,0,0
72269,1,1
154100,0,0
148100,0,0
139112,1,1
318259,0,0
287637,1,1
59267,0,0
363851,0,0
34837,1,0
294710,1,0
279724,0,0
202834,1,1
196560,0,0
31446,1,1
225230,1,0
355238,0,0
132524,1,0
92074,0,1
104781,0,0
275943,0,0
161758,1,0
60317,1,1
351868,1,1
174747,0,0
26899,1,1
83979,1,0
33061,1,0
6795,0,1
337416,0,0
113573,1,0
246438,0,1
211813,1,1
270344,1,1
242074,1,1
9491,0,0
270991,0,0
317052,0,0
340319,1,0
222124,1,1
251284,1,0
244353,0,1
65739,0,0
62235,1,1
103270,1,1
45599,0,0
217440,1,0
98829,1,1
296985,0,1
309117,0,1
189773,0,1
258724,1,0
132666,1,1
117276,1,0
77888,0,1
8686,0,0
135584,1,1
341920,0,0
205787,0,0
195324,1,0
178349,0,0
15812,0,0
302509,0,1
278019,0,0
197625,1,0
367798,1,1
146326,0,1
91145,0,0
147143,1,1
48189,1,0
107118,1,1
284544,1,1
297415,0,0
267532,0,0
224370,1,1
275328,0,0
174663,0,0
231248,0,0
110362,0,0
291214,0,0
32132,0,1
179948,1,1
243720,1,1
16339,1,0
295113,1,0
64188,1,1
26908,0,0
255352,0,0
202470,0,1
172779,0,0
297268,1,1
260262,1,1
10051,0,1
63963,0,1
2913,1,1
162644,1,1
72287,1,1
307780,0,0
197723,1,1
76727,1,0
21517,0,0
275496,0,0
44501,0,0
326023,0,0
890,0,0
238196,0,0
330871,0,1
195970,1,0
155315,0,0
27993,1,1
335612,1,1
107212,0,0
230631,0,0
267260,1,0
354466,0,0
354939,0,0
112200,0,0
283958,0,0
32299,1,0
345543,0,0
96458,0,0
133361,1,1
350953,0,0
116046,0,0
338176,1,1
61610,0,0
223628,0,0
263071,0,0
86537,0,0
174316,1,1
15457,0,1
285321,0,0
63484,0,0
151215,1,1
323316,1,1
138673,0,0
221868,1,1
308341,1,1
53013,0,0
225931,1,0
245741,0,0
182647,0,0
145180,0,0
147499,0,0
69865,0,0
26052,1,0
223255,0,0
72616,0,0
330098,0,0
36295,0,0
372942,0,0
351508,0,0
189530,0,0
167355,0,0
81583,0,0
147417,0,0
339010,1,1
180814,1,1
166277,1,1
349039,1,0
111130,1,1
302415,1,0
199460,0,0
210747,0,1
84174,0,0
238,0,0
180879,1,1
312885,1,1
77635,1,1
112791,1,1
35717,0,0
297348,0,0
135574,0,1
344776,0,0
93197,0,1
319764,1,1
163827,0,0
310042,1,0
64920,1,1
324367,0,0
246984,0,0
234173,0,1
17812,1,1
89415,0,0
268950,1,0
90504,0,0
115714,1,1
18731,1,1
34270,0,0
43984,1,1
360734,1,0
262899,1,1
361856,1,1
363303,0,1
253435,1,0
356504,1,1
125226,0,0
338842,0,0
163562,1,1
346386,0,0
199203,1,1
3776,0,1
43486,0,0
32014,1,1
91402,1,0
110717,1,1
201616,1,1
78978,0,0
38671,0,0
350992,0,0
237909,0,0
273084,1,1
133260,0,0
153358,0,0
304445,1,1
326551,0,0
227850,0,0
131663,1,1
334728,1,1
6193,1,1
357471,1,0
134754,0,0
355428,0,1
222615,0,1
313581,0,0
153033,1,0
175220,0,0
330523,0,0
115173,1,1
